FIELD NAME,LENGTH,START,END,TYPE,,,COMMENTS
Record Type,,1,1,1,A/N,E,=,End of Day
"",,,,,,,,Transaction MRO
"",,,,,,M,=,Multi-Cycle
"",,,,,,,,Transaction MRO
Record Subtype,,1,2,2,A/N,A,=,Asset Output
Physical Sequence Number,2,3,4,NUM,Prior Physical Sequence,,
"",,,,,,Number + 1,,
Logical Sequence Number,2,5,6,NUM,02,,
AT Record Type Status,1,7,7,A/N,Values for Status Code:,,
"",,,,,,0,,= Valid
"",,,,,,1,,=  Participant
"",,,,,,,,Changed
"",,,,,,2,,= System Changed
"",,,,,,3,,= Error
"",,,,,,Space,,= No Change
AT Record Length Status,1,8,8,A/N,See status code values above,,
AT Physical Sequence Number Status,1,9,9,A/N,See status code values above,,
AT Logical Sequence Number Status,1,10,10,A/N,See status code values above,,
AT Transaction Type Status,1,11,11,A/N,See status code values above,,
AT ACATS Control Number Status,1,12,12,A/N,See status code values above,,
AT Transfer Type Status,1,13,13,A/N,See status code values above,,
AT Submitting Participant Number Status,1,14,14,A/N,See status code values above,,
AT Original Receiver Number Status,1,15,15,A/N,See status code values above,,
AT Original Deliverer  Number Status,1,16,16,A/N,See status code values above,,
AT Transaction Reference ID Status,1,17,17,A/N,See status code values above,,
AT Asset Sequence Number Status,1,18,18,A/N,See status code values above,,
Asset Pricing Category Status,1,19,19,A/N,See status code values above,,
Option Category Status,1,20,20,A/N,See status code values above,,
Settling Location  Status,1,21,21,A/N,See status code values above,,
Settling Location  Reason Status,1,22,22,A/N,See status code values above,,
ISIN Country Code Status,1,23,23,A/N,See status code values above,,
ISIN Security Issue ID Status,1,24,24,A/N,See status code values above,,
ISIN Security Check Digit  Status,1,25,25,A/N,See status code values above,,
Asset Description Status,1,26,26,A/N,See status code values above,,
Asset Quantity Request Indicator Status,1,27,27,A/N,See status code values above,,
Asset Request Transaction Code Status,1,28,28,A/N,See status code values above,,
Asset Quantity Status,1,29,29,A/N,See status code values above,,
Asset Percent Status,1,30,30,A/N,Field not applicable,,
Position Code Status,1,31,31,A/N,See status code values above,,
ISO Currency Code Status,1,32,32,A/N,See status code values above,,
Asset Amount Status,1,33,33,A/N,See status code values above,,
Bearer Bond Status,1,34,34,A/N,See status code values above,,
Cash/Margin/Short Code Status,1,35,35,A/N,See status code values above,,
